fold,test_start,strategy,total_return,max_drawdown,sharpe,sortino,profit_factor,n_trades
3,2023-06-27 18:15:00+00:00,ema_cross,-0.20215402180372533,-0.20327908941252737,-37.6204648139803,-43.94660114232635,0.06671066431579903,404
3,2023-06-27 18:15:00+00:00,rsi_reversion,-0.00313194735101352,-0.009573673200067967,-0.5922045175217429,-0.8496471372837728,0.7467577621793592,21
3,2023-06-27 18:15:00+00:00,vwap_reversion,0.000595552484224271,-0.009928183113284472,0.135934679632352,0.19111811551622224,1.0558919114859682,10
4,2023-08-18 20:15:00+00:00,buy_and_hold,-0.0034935766586784434,-0.014214090347576813,-0.6837001758900925,-0.9613345130230432,0.0,1
4,2023-08-18 20:15:00+00:00,random,-0.3137813966884826,-0.3137813966884826,-58.91199572161252,-63.61903509149907,0.03827703144109766,984
4,2023-08-18 20:15:00+00:00,ema_cross,-0.2655807334461471,-0.2670181980898758,-50.58538417869759,-55.677461761884665,0.05094815734912797,527
4,2023-08-18 20:15:00+00:00,rsi_reversion,-0.008427518244512155,-0.013299909726124381,-1.6619733999588773,-2.326591699769851,0.5939122047937239,24
4,2023-08-18 20:15:00+00:00,vwap_reversion,0.0008922420703436629,-0.009344609599997722,0.19592847397519497,0.277033948574682,1.14486798128113,9
5,2023-10-09 22:15:00+00:00,buy_and_hold,0.020708115546006933,-0.010148814282809115,3.6687901441270867,5.3988409402465525,inf,1
5,2023-10-09 22:15:00+00:00,random,-0.3004710403130787,-0.3005130092820886,-52.955528588332406,-58.91049462258606,0.0689962624682947,984
5,2023-10-09 22:15:00+00:00,ema_cross,-0.20314655226953748,-0.20314655226953748,-36.20065377270844,-43.13782837992475,0.120544776560766,436
5,2023-10-09 22:15:00+00:00,rsi_reversion,-0.024137743910567444,-0.02807836859889723,-4.560711630097919,-6.129953820219968,0.22608537998271297,20
5,2023-10-09 22:15:00+00:00,vwap_reversion,-0.0033208766915010512,-0.012845629475589981,-0.5914491609264876,-0.8279126499145099,0.818668731416726,14
6,2023-12-01 00:15:00+00:00,buy_and_hold,-0.0015459978511301875,-0.01654594035751289,-0.22683497767520416,-0.33363940303006356,0.0,1
6,2023-12-01 00:15:00+00:00,random,-0.32592909126246505,-0.32592909126246505,-53.180276161981226,-58.08385397660405,0.07265632739360817,984
6,2023-12-01 00:15:00+00:00,ema_cross,-0.23163592686870427,-0.23196524310200684,-37.10972510976639,-46.052351700978974,0.11423422867625355,490
6,2023-12-01 00:15:00+00:00,rsi_reversion,-0.004735005420180127,-0.0116943830352354,-0.7363296569297867,-0.9884587590726859,0.6665802133975675,19
6,2023-12-01 00:15:00+00:00,vwap_reversion,-0.00566372063001197,-0.017556450305788895,-0.8958235237029487,-1.2079251948063499,0.752504741235439,18
7,2024-01-22 02:15:00+00:00,buy_and_hold,0.017951191530749533,-0.007927561434911246,3.2296372774154274,4.685069066614395,inf,1
7,2024-01-22 02:15:00+00:00,random,-0.30152390554041486,-0.3016359775038061,-53.8053895155508,-60.591798264423296,0.07244773963825844,984
7,2024-01-22 02:15:00+00:00,ema_cross,-0.23349945165508434,-0.23359475336959024,-41.73395214761064,-48.349729403931185,0.06174383028114997,477
7,2024-01-22 02:15:00+00:00,rsi_reversion,-0.01692151131687447,-0.02188498987690124,-3.063650303290995,-4.203627111862215,0.2688156475605754,20
7,2024-01-22 02:15:00+00:00,vwap_reversion,1.6215698159349756e-05,-0.018155190617744732,0.021838533314499895,0.030604381647948993,1.0010845703865086,14
8,2024-03-14 04:15:00+00:00,buy_and_hold,0.015183559538224811,-0.05541633931516565,0.8074216715007217,1.1037750209214399,inf,1
